,Latitude,Longitude,location,location_type,day_count,measurement_count,Humidity_%,PM2.5_ATM_ug/m3,Temperature_F,UptimeMinutes,PM10.0_CF1_ug/m3,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3
50,37.746178,-122.421391,La Lengua Air Station Zebra ,outside ,3505,3504,55.5354081050228,6.31161529680363,60.8453767123288,25996.2590097032,7.57422945205482,4.07365296803654,6.50322203196345
51,37.759784,-122.408219,Hampshire hambone ,outside ,3505,3504,49.8241523972604,7.41111015981735,64.7591581050224,29569.0737442922,8.40376997716896,4.37442922374432,7.70995148401827
52,37.783122,-122.44284,Civic Center,ish B ,3505,3504,47.2239269406393,7.6878767123288,65.0216038812782,21382.9272146119,8.84727454337899,4.99917237442923,7.93109874429227
53,37.787307,-122.417252,930 Post ,outside ,3504,3504,44.661087328767,7.38000570776257,65.4620605022828,26639.0072460046,8.59971461187214,5.11862442922374,7.52433219178084
54,37.715385,-122.475713,Summit800 ,outside ,3505,3505,54.5865905848788,5.41794293865908,61.4152296718972,30048.4819400856,6.66634522111269,3.06035948644794,5.4991925820257
55,37.728475,-122.458774,"Westwood Park, San Fran., CA ",outside ,3505,3505,59.2726733238232,5.43740656205421,60.3461340941514,18329.1489300999,6.82687874465047,3.46668758915836,5.49443651925821
56,37.732328,-122.443274,Joost-by-the-Congo ,outside ,3505,3505,50.1196718972895,5.24947503566334,63.6042453637661,20307.7516718973,6.43198573466474,2.97028815977177,5.31352353780313
57,37.733207,-122.423638,St Mary's Park ,outside ,3505,3505,52.8300285306705,6.14419971469332,61.7440370898715,33914.149360913,7.13340656205421,4.13260199714696,6.22017974322398
58,37.7333,-122.429299,Castle Bosworth ,outside ,3505,3505,52.744002853067,6.83471897289586,62.5763509272467,29694.2553038516,8.41129243937231,3.65280171184025,6.96735235378032
59,37.736153,-122.457618,Sherwood Forest -- Lansdale Drive ,outside ,3505,3505,56.7706932952925,5.57615977175463,61.2855035663339,30381.391788873,6.81053067047075,3.20809700427961,5.70439087018545
60,37.737298,-122.436299,CONRAD ,outside ,3505,3505,56.9432296718975,4.97938659058489,58.6564450784593,31532.7589728959,5.53460199714694,3.07225677603424,5.0546419400856
61,37.742314,-122.473698,Taraval 17th ,outside ,3505,3505,58.4172410841653,6.55436804564907,58.1346390870182,25487.3483851641,7.28166619115551,3.65199429386592,6.65001997146933
62,37.743789,-122.433541,Upper Noe Valley ,outside ,3505,3505,53.735997146933,5.1847817403709,62.0021825962908,26218.7062453638,5.98812268188303,3.1692410841655,5.24390584878744
63,37.743821,-122.463027,Forest Hill ,outside ,3505,3505,41.1189700427961,3.49996005706134,68.2736747503568,15808.5846761769,4.02134094151212,2.12667047075607,3.50252211126961
64,37.744437,-122.433376,Castro-28th ,outside ,3505,3505,55.291212553495,5.52678174037091,61.8218402282453,23594.9500485021,7.07111840228243,3.28017118402284,5.59671897289588
65,37.744865,-122.420984,La Lengua Air Station Alpha ,outside ,3505,3505,74.6517660485021,5.48766904422255,64.713649072753,25678.6733352354,6.5714493580599,3.58556918687591,5.56709557774609
66,37.747248,-122.485938,Sunset Reservoir ,outside ,3505,3505,62.4937888730385,6.87360342368046,57.0189101283881,29956.1665477889,9.66427104136947,3.94098430813126,7.0320114122682
67,37.749031,-122.442643,Upper Noe Valley ,outside ,3505,3505,54.8276576319544,9.2947960057061,61.4641683309555,32201.9009415121,11.7052667617689,6.87821112696149,10.0171469329529
68,37.751562,-122.50442,45th Ave-MR ,outside ,3505,3505,57.9920142653353,7.94346362339516,63.0656833095579,21738.603149786,9.32085306704706,4.28196291012839,8.302787446505
69,37.753377,-122.44367,BRSKBV-Outside ,outside ,3505,3505,54.1489015691868,5.36372610556348,60.2587760342369,19700.9653409415,6.47345221112695,3.07158915834525,5.43657061340941
70,37.758148,-122.507665,Outer Sunset- Ocean Beach at Kirkham ,outside ,3505,3505,40.4528302425107,3.78499286733238,72.217817403709,17114.1202282454,4.84229386590585,3.67241369472186,4.52620256776034
71,37.758468,-122.40842,York Street ,outside ,3505,3505,48.578176890157,6.64144935805992,64.300790299572,33868.4605021398,8.54927246790303,3.79331241084165,6.82190584878745
72,37.75884,-122.390794,Dogpatch2 ,outside ,3505,3505,54.2841654778886,6.38705848787445,60.5723965763195,36209.7075920114,7.29921825962911,3.85843366619116,6.53712981455062
73,37.759338,-122.425023,66 Cumberland Street ,outside ,3505,3505,57.1958059914409,6.92453067047078,58.1015092724679,23972.2989957204,8.5045392296719,4.11040798858775,7.08799144079888
74,37.759478,-122.38942,Dogpatch_Digs_SFAQ25 ,outside ,3505,3505,52.5348787446505,7.2600199714693,63.1484422253922,31267.7676947219,9.76321825962908,4.13209700427963,7.52964621968616
75,37.760688,-122.424406,19th St & Guerrero St  ,outside ,3505,3505,52.414239657632,7.87268758915836,59.8273152639086,18549.722721826,9.36567189728958,5.34442510699002,8.18192867332383
76,37.761134,-122.421696,valencia outside ,outside ,3505,3505,53.9084051355204,8.00648216833097,61.3048359486447,15882.1657061341,9.23452496433666,4.50608844507847,8.22726390870187
77,37.762306,-122.454752,Edgewood ,outside ,3505,3505,55.162910128388,5.4357032810271,61.1396604850213,20373.5677489301,6.68209985734666,3.45106419400857,5.61489015691869
78,37.77074,-122.4308,132 Germania St ,outside ,3505,3505,53.6131412268187,7.20545791726104,60.2264850213979,21359.2482510699,8.88431383737519,4.14510699001428,7.35226533523535
79,37.771002,-122.421439,McCoppin Hub ,outside ,3505,3505,52.3643794579172,7.51280741797432,60.5657945791725,27250.3368302425,9.26193437945795,4.42346932952925,7.69483880171184
80,37.771674,-122.387125,Radiance ,outside ,3505,3505,48.2354579172612,6.25114407988591,63.4017803138373,31077.2797517832,8.92052211126964,3.61399144079888,6.36693865905853
81,37.772098,-122.442392,Lyon and Page ,outside ,3505,3505,92.3973466476462,5.84328958630528,73.7754664764622,32065.7778773181,7.29873894436521,4.14129814550643,5.95570613409415
82,37.773312,-122.430259,Alamosquare ,outside ,3505,3505,55.6101883024253,7.62079315263908,60.4087674750355,31935.2095064194,9.32733808844508,4.09960057061343,7.79107845934378
83,37.773392,-122.43327,Oak Yard ,outside ,3505,3505,50.8429443651925,7.47887018544934,61.088727532097,33285.8127988588,8.9366305278174,4.49602853067049,7.65332952924391
84,37.773547,-122.421903,Gough_Market Outdoors ,outside ,3505,3505,48.6790271041368,9.98490442225392,64.5678487874465,35276.9439372325,11.7388644793153,7.27178031383735,11.0387360912982
85,37.778191,-122.394992,Central SOMA ,outside ,3505,3505,50.9817146932952,7.76543509272465,64.0298659058488,26903.7378145507,10.2348587731811,4.64964051355208,7.99522967189725
86,37.780317,-122.49714,36th and Shore View ,outside ,3505,3505,81.0992439372324,6.13861055634806,59.4900542082739,22842.0136062767,8.25417118402282,3.47523823109843,6.26542368045649
87,37.78119,-122.476532,17th Ave ,outside ,3505,3505,48.5782168330954,6.6113266761769,63.6978031383739,33775.5822339515,7.76545221112695,4.41461055634808,6.73905848787446
88,37.781643,-122.480087,21stAtClement ,outside ,3505,3505,57.5806305278173,6.27178031383738,60.4784850213979,27443.0269985735,8.26801711840227,3.51448216833096,6.37679600570614
89,37.785605,-122.482905,23rd & Lake ,outside ,3505,3505,54.428248216833,5.99273609129814,62.9777261055636,31150.0035977175,7.55399429386591,3.59956062767476,6.08603994293865
90,37.78905,-122.448503,Presidio Heights ,outside ,3505,3505,59.0147931526393,5.52450499286735,56.9191982881596,34604.7076091298,7.52801141226822,3.05217689015693,5.71328102710415
91,37.790083,-122.427562,CalOctaviaOutside ,outside ,3505,3505,33.7127960057061,0.77247360912983,75.036524964336,24284.5237917261,1.07396576319545,0.363129814550637,0.770661911554937
92,37.794771,-122.432644,The Hamlin School - Broadway ,outside ,3505,3505,94.5193580599143,5.59000285306704,59.6428844507847,27071.6653038516,6.87671041369475,3.31840228245366,5.70687018544934
93,37.795219,-122.432641,The Hamlin School - Science Labs ,outside ,3505,3505,51.675403708987,6.08864764621969,61.610054208274,31084.8660827389,7.62411412268187,3.71498145506421,6.25807703281026
